Date,Open,High,Low,Close,Volume,Adj Close,change,pos or neg
8/8/16,124.6,127.9,122.2,124.65,854300,124.65,0.6,TRUE
8/1/16,127.45,127.95,115.6,124.05,1104500,124.05,-1.75,FALSE
7/25/16,120.7,130.5,119.65,125.8,1324500,125.8,5.2,TRUE
7/18/16,116.8,124.9,114.1,120.6,1670800,120.6,4.45,TRUE
7/11/16,112,118.6,110.5,116.15,1210300,116.15,6.05,TRUE
7/4/16,115,115.2,103.65,110.1,1352000,110.1,-3.55,FALSE
6/27/16,115,115.6,105.25,113.65,2204900,113.65,-0.6,FALSE
6/20/16,124,127.25,109.6,114.25,1928100,114.25,-4.34,FALSE
6/13/16,123,123.55,115,118.75,1524100,118.59,-6.69,FALSE
6/6/16,131.05,134.6,124,125.45,1163600,125.28,-4.74,FALSE
5/30/16,136.4,139.4,129.6,130.2,1560800,130.02,-5.44,FALSE
5/23/16,129.7,136,127.6,135.65,1285200,135.46,5.99,TRUE
5/16/16,129.2,131.4,124.7,129.65,1015600,129.47,0.45,TRUE
5/9/16,124.3,130.7,123.35,129.2,1251900,129.02,7.39,TRUE
5/2/16,127,128.8,117.35,121.8,1043100,121.63,-4.65,FALSE
4/25/16,124.65,132.85,121.35,126.45,1460500,126.28,1,TRUE
4/18/16,108.1,130,107.35,125.45,2530100,125.28,18.2,TRUE
4/11/16,104,112.95,102.8,109.65,1023100,107.08,5.57,TRUE
4/4/16,107.75,108.55,101.25,103.95,1010500,101.51,-3.66,FALSE
3/28/16,114.85,115.25,107.05,107.7,774900,105.17,-6.98,FALSE
3/21/16,115.5,118.8,113.6,114.85,855000,112.15,-1.62,FALSE
3/14/16,115.3,118,111.65,116.5,1408400,113.77,2.74,TRUE
3/7/16,118.6,120,107.75,113.7,1690700,111.03,-7.13,FALSE
2/29/16,101.8,122.4,100.9,121,1861600,118.16,16.99,TRUE
2/22/16,103.55,106.7,97.01,103.6,1327300,101.17,1.51,TRUE
2/15/16,98.1,107.45,97.65,102.05,1438000,99.66,6.69,TRUE
2/8/16,104.2,104.9,92.7,95.2,1990300,92.97,-7.76,FALSE
2/1/16,107.35,107.4,98.86,103.15,1587500,100.73,-3.66,FALSE
1/25/16,113.55,114,105.9,106.9,1232500,104.39,-5.91,FALSE
1/18/16,112,115,103.5,112.95,1712100,110.3,1.03,TRUE
1/11/16,116.25,124.4,109.9,111.9,1971700,109.27,-3.13,FALSE
1/4/16,130,130.1,111.5,115.1,2186500,112.4,-18.21,FALSE
12/28/15,135.3,135.9,133,133.75,370500,130.61,-1.27,FALSE
12/21/15,131.25,135.1,130.15,135.05,796500,131.88,4.93,TRUE
12/14/15,130,131.95,122.6,130,2320200,126.95,1.42,TRUE
12/7/15,128.5,136.65,121,128.55,2253100,125.53,1.61,TRUE
11/30/15,124.55,135.25,122.45,126.9,3047400,123.92,2.98,TRUE
11/23/15,106.45,126.55,104.25,123.85,3132100,120.94,15.04,TRUE
11/16/15,96.05,108.8,96.02,108.45,1603600,105.9,11.81,TRUE
11/9/15,98,98.7,94.55,96.35,1482800,94.09,-0.81,FALSE
11/2/15,109,113.3,95.71,97.18,3032400,94.9,-11.83,FALSE
10/26/15,108,110.25,102.65,109.3,1339400,106.73,1.56,TRUE
10/19/15,100.25,108.05,97.53,107.7,1560200,105.17,6.93,TRUE
10/12/15,106.6,110,100.1,100.6,2012100,98.24,-5.86,FALSE
10/5/15,92,110.75,86.36,106.6,3613800,104.1,13.91,TRUE
9/28/15,107,107,90.7,92.36,4412200,90.19,-14.59,FALSE
9/21/15,139.95,142.9,95.51,107.3,10348900,104.78,-53.81,FALSE
9/14/15,168.5,171.45,161.65,162.4,1507800,158.59,-5.42,FALSE
9/7/15,163.8,172.45,162.55,167.95,1083800,164.01,5.62,TRUE
8/31/15,169.8,170.8,160.8,162.2,1407600,158.39,-8.94,FALSE
8/24/15,161.4,174.05,154,171.35,2587300,167.33,4.3,TRUE
8/17/15,180.2,181.7,165.05,166.95,1592200,163.03,-11.62,FALSE
8/10/15,191.2,191.6,176.75,178.85,1425100,174.65,-10.06,FALSE
8/3/15,182.35,192.6,179.4,189.15,1226400,184.71,6.59,TRUE
7/27/15,188.7,193.6,181.25,182.4,1685300,178.12,-7.23,FALSE
7/20/15,199.6,200.3,188.75,189.8,1232000,185.35,-9.96,FALSE
7/13/15,208.5,210.9,196.1,200,1634200,195.31,-5.66,FALSE
7/6/15,208.55,211.9,198.7,205.8,1439800,200.97,-6.74,FALSE
6/29/15,208.4,218.6,207.85,212.7,1199600,207.71,-6.49,FALSE
6/22/15,215.55,222.85,214.2,219.35,1080800,214.2,9.13,TRUE
6/15/15,209.75,213.75,203.65,210,1225600,205.07,-3.32,FALSE
6/8/15,213.5,219.95,206.15,213.4,1169500,208.39,-0.49,FALSE
6/1/15,222.1,222.8,213,213.9,1021000,208.88,-6.93,FALSE
5/25/15,229.95,232.9,220.5,221,700600,215.81,-8.74,FALSE
5/18/15,216.25,234.8,215.5,229.95,1100900,224.55,13.91,TRUE
5/11/15,231.45,231.8,213.4,215.7,1139200,210.64,-15.92,FALSE
5/4/15,232,235.65,216.45,232,1409100,226.56,5.35,TRUE
4/27/15,243.4,248.75,227.65,231.45,1367600,221.21,-1.53,FALSE
4/20/15,235.75,237.85,223.95,233.05,1554100,222.74,-1.86,FALSE
4/13/15,247.8,251.35,234.5,235,1167100,224.6,-17.4,FALSE
4/6/15,243.8,254.5,241.2,253.2,658200,242,8.99,TRUE
3/30/15,245.6,250.7,242.65,243.8,807400,233.01,-0.77,FALSE
3/23/15,249.7,249.8,236.6,244.6,1199100,233.78,-5.21,FALSE
3/16/15,249.35,262.45,239.55,250.05,1814700,238.99,2.2,TRUE
3/9/15,228.8,247.75,226.75,247.75,1168800,236.79,17.11,TRUE
3/2/15,227,229.85,217.35,229.85,1039400,219.68,4.16,TRUE
2/23/15,227.5,229.1,211.65,225.5,1221600,215.52,0.47,TRUE
2/16/15,212.6,226.4,209,225,1097900,215.05,11.81,TRUE
2/9/15,211.15,216.3,203.7,212.65,1097100,203.24,-1.53,FALSE
2/2/15,199.1,215,199.1,214.25,1208700,204.77,15.24,TRUE
1/26/15,201.9,206,193.65,198.3,1293400,189.53,-5.25,FALSE
1/19/15,192,205.2,190.75,203.8,1539000,194.78,11.46,TRUE
1/12/15,179.95,192,177.8,191.8,1358400,183.32,10.42,TRUE
1/5/15,181.2,185,174.3,180.9,966700,172.9,-1.53,FALSE
1/1/15,184.65,185.5,180.6,182.5,320900,174.43,0,FALSE
